,EPSG:4326_Long,EPSG:4326_Lat,Address,Description
108,-87.59913,41.78843,UChicago Chicago IL,AoT Chicago (S) [C] {UChicago}
109,0.0,0.0,TBD,AoT Seattle (S) [C]
110,-87.71299,41.751142,7801 S Lawndale Ave Chicago IL,AoT Chicago (S) [CA] {ComEd}
111,-87.601646,41.794167,Ratner Hall UChicago Chicago IL,AoT Chicago (S) [C] {UChicago}
112,-87.71299,41.751142,7801 S Lawndale Ave Chicago IL,AoT Chicago (S) [CA] {ComEd}
113,-87.615957,41.794477,Martin Luther King Dr & Garfield Blvd Chicago IL,AoT Chicago (S) [C]
114,-87.600117,41.793278,"UChicago, Smart Museum Chicago IL",AoT Chicago (S) [C] {UChicago}
115,-87.671373,41.906481,Milwaukee Ave & Wood St Chicago IL,AoT Chicago (S) [C]
116,-87.724499,41.84241,Pulaski Rd & 27th St Chicago IL,AoT Chicago (S) [C]
117,-87.617298,41.83107,Martin Luther King Dr & 35th St Chicago IL,AoT Chicago (S) [C]
118,0.0,0.0,"CDOT,05/31/2018",AoT Chicago (S) [C]
119,-87.668257,41.918733,Ashland Ave & Elston Ave Chicago IL,AoT Chicago (S) [C]
120,-87.597995,41.788979,"UChicago, Oriental Museum Chicago IL",AoT Chicago (S) [C] {UChicago}
121,-87.666599,41.8742,Ashland Ave & Harrison St Chicago IL,AoT Chicago (S) [C]
122,-87.683022,41.9140942,606 Path & Miwaukee Ave Chicago IL,AoT Chicago (S) [C]
123,-87.604647,41.729355,93rd St & Cottage Grove Ave Chicago IL,AoT Chicago (S) [C]
124,-87.74526800000002,41.880497,Cicero Ave & Madison St Chicago IL,AoT Chicago (S) [C]
125,-87.67644,41.87148,Damen Ave & Polk St Chicago IL,AoT Chicago (S) [C]
126,-87.659672,41.96904,Broadway Ave & Lawrence Ave Chicago IL,AoT Chicago (S) [C]
127,-87.641054,41.823527,Wallace St & Pershing Rd Chicago IL,AoT Chicago (S) [C]
128,-87.72738199999998,41.946373,Pulaski Rd & Addison St Chicago IL,AoT Chicago (S) [C]
129,-87.60448199999998,41.722044,Cottage Grove Ave & 95th St Chicago IL,AoT Chicago (S) [C]
130,0.0,0.0,TBD,AoT Stanford (S) [C]
131,-87.66351800000002,41.75034,Ashland Ave & 79th St Chicago IL,AoT Chicago (S) [C]
132,-87.679174,41.968757,Damen Ave & Lawrence Ave Chicago IL,AoT Chicago (S) [C]
133,-87.604759,41.736593,Cottage Grove Ave & 87th St Chicago IL,AoT Chicago (S) [C]
134,-87.66672,41.965256,Clark St & Wilson Ave Chicago IL,AoT Chicago (S) [C]
135,-87.662391,41.896157,Chicago Ave & Noble St Chicago IL,AoT Chicago (S) [C]
136,0.0,0.0,TBD,AoT Stanford (S) [C]
137,-87.598713,41.788608,UChicago Chicago IL,AoT Chicago (S) [C] {UChicago}
138,-87.687703,41.924903,Western Ave & Fullerton Ave Chicago IL,AoT Chicago (S) [C]
139,-87.745817,41.895005,Cicero Ave & Chicago Ave Chicago IL,AoT Chicago (S) [C]
140,-87.609852,41.692769,Cottage Grove Ave & 111th St Chicago IL,AoT Chicago (S) [C]
141,-87.665948,41.961622,Clark St & Montrose Ave Chicago IL,AoT Chicago (S) [C]
142,-87.723801,41.939121,Milwaukee & Belmont Chicago IL,AoT Chicago (S) [C]
143,-87.66640600000002,41.916586,Elston and Cortland Chicago IL,AoT Chicago (S) [C]
144,-87.648093,41.903632,Halsted St & Division St Chicago IL,AoT Chicago (S) [C]
145,0.0,0.0,TBD,AoT Denver - Panasonic (S) [CA]
146,-87.703739,41.800846,Kedzie Ave & 51st St Chicago IL,AoT Chicago (S) [C]
147,-87.599623,41.795436,"UChicago, Law School Chicago IL",AoT Chicago (S) [C] {UChicago}
148,-87.6116431,41.8920031,Ohio St & Grand Ave Chicago IL,AoT Chicago (S) [C]
149,-87.539374,41.66607800000001,Ave O & 126th Chicago IL,AoT Chicago (S) [C]
150,-87.536509,41.713867,Ave L & 100th St Chicago IL,AoT Chicago (S) [C]
151,-87.72242,41.764122,Pulaski Rd & 71st St Chicago IL,AoT Chicago (S) [C]
152,-87.645248,41.954825,Lake Shore Drive & Irving Park Rd Chicago IL,AoT Chicago (S) [C]
153,-87.559113,41.65849,Torrence Ave & Brainard Ave Chicago IL,AoT Chicago (S) [C]
154,-87.611081,41.685445,Cottage Grove Ave & 115th St Chicago IL,AoT Chicago (S) [C]
155,-87.62775,41.88076,State St & Monroe St Chicago IL,AoT Chicago (S) [C]
156,-87.627864,41.884688,State St & Randolph St Chicago IL,AoT Chicago (S) [C]
157,-87.665685,41.839066,Ashland Ave & 31st Pl Chicago IL,AoT Chicago (S) [C]
158,0.0,0.0,TBD,AoT Syracuse (S) [C]
159,-88.062771,41.922183,"Surya Burn-In, (08/02/2019)",AoT Node (S) [CP]
160,-87.624577,41.884607,Michigan Ave & Randolph St Chicago IL,AoT Chicago (S) [C]
161,-87.64309899999998,41.714494,Halsted St & 99th St Chicago IL,AoT Chicago (S) [C]
162,-87.688326,41.947066,Western Ave & Addison St Chicago IL,AoT Chicago (S) [C]
163,-87.76257,41.96759,Long Ave & Lawrence Ave Chicago IL,AoT Chicago (S) [P]
164,-87.688069,41.943263,Western Ave & Roscoe Ave Chicago IL,AoT Chicago (S) [P]
165,-87.666748,41.883541,Ashland Ave & Washington Chicago IL,AoT Chicago (S) [P]
166,-87.63387,41.88326,N Wells St & W Washington St Chicago IL ,AoT Chicago (S) [P]
167,-87.636955,41.88449,Upper Wacker Dr & Randolph St Chicago IL,AoT Chicago (S) [P]
